"run","Model","ic_series","dummies","ecdet","lag_rule","K","cv_valid","test","hypothesis","statistic","cv_10pct","cv_5pct","cv_1pct","reject_5pct"
"A_common_censusIC","LTL","Total_Inventories","za_step","trend","SBC",2,FALSE,"eigen","r = 0",21.4861588743083,16.85,18.96,23.65,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_step","trend","SBC",2,FALSE,"eigen","r <= 1",13.0308168570598,10.49,12.25,16.26,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_window","none","AIC",2,FALSE,"trace","r = 0",14.4614200846896,15.66,17.95,23.52,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","none","AIC",2,FALSE,"trace","r <= 1",2.20099100092897,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","none","AIC",2,FALSE,"eigen","r = 0",12.2604290837606,12.91,14.9,19.19,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","none","AIC",2,FALSE,"eigen","r <= 1",2.20099100092897,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","none","SBC",2,FALSE,"trace","r = 0",14.4614200846896,15.66,17.95,23.52,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","none","SBC",2,FALSE,"trace","r <= 1",2.20099100092897,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","none","SBC",2,FALSE,"eigen","r = 0",12.2604290837606,12.91,14.9,19.19,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","none","SBC",2,FALSE,"eigen","r <= 1",2.20099100092897,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","const","AIC",2,FALSE,"trace","r = 0",39.176700405106,17.85,19.96,24.6,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_window","const","AIC",2,FALSE,"trace","r <= 1",6.16291980790741,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","const","AIC",2,FALSE,"eigen","r = 0",33.0137805971986,13.75,15.67,20.2,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_window","const","AIC",2,FALSE,"eigen","r <= 1",6.16291980790741,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","const","SBC",2,FALSE,"trace","r = 0",39.176700405106,17.85,19.96,24.6,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_window","const","SBC",2,FALSE,"trace","r <= 1",6.16291980790741,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","const","SBC",2,FALSE,"eigen","r = 0",33.0137805971986,13.75,15.67,20.2,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_window","const","SBC",2,FALSE,"eigen","r <= 1",6.16291980790741,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","trend","AIC",2,FALSE,"trace","r = 0",27.2232962628261,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_window","trend","AIC",2,FALSE,"trace","r <= 1",8.84845335052607,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","trend","AIC",2,FALSE,"eigen","r = 0",18.3748429123,16.85,18.96,23.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","trend","AIC",2,FALSE,"eigen","r <= 1",8.84845335052607,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","trend","SBC",2,FALSE,"trace","r = 0",27.2232962628261,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_window","trend","SBC",2,FALSE,"trace","r <= 1",8.84845335052607,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","trend","SBC",2,FALSE,"eigen","r = 0",18.3748429123,16.85,18.96,23.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_window","trend","SBC",2,FALSE,"eigen","r <= 1",8.84845335052607,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","none","AIC",6,FALSE,"trace","r = 0",17.7443911124644,15.66,17.95,23.52,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","none","AIC",6,FALSE,"trace","r <= 1",0.656179452742383,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","none","AIC",6,FALSE,"eigen","r = 0",17.088211659722,12.91,14.9,19.19,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","none","AIC",6,FALSE,"eigen","r <= 1",0.656179452742383,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","none","SBC",2,FALSE,"trace","r = 0",21.5732720421971,15.66,17.95,23.52,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","none","SBC",2,FALSE,"trace","r <= 1",1.09103626429022,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","none","SBC",2,FALSE,"eigen","r = 0",20.4822357779069,12.91,14.9,19.19,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","none","SBC",2,FALSE,"eigen","r <= 1",1.09103626429022,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","const","AIC",6,FALSE,"trace","r = 0",23.1443284419368,17.85,19.96,24.6,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","const","AIC",6,FALSE,"trace","r <= 1",3.08111887039741,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","const","AIC",6,FALSE,"eigen","r = 0",20.0632095715394,13.75,15.67,20.2,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","const","AIC",6,FALSE,"eigen","r <= 1",3.08111887039741,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","const","SBC",2,FALSE,"trace","r = 0",36.5014246925278,17.85,19.96,24.6,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","const","SBC",2,FALSE,"trace","r <= 1",4.90804418855176,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","const","SBC",2,FALSE,"eigen","r = 0",31.5933805039761,13.75,15.67,20.2,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","const","SBC",2,FALSE,"eigen","r <= 1",4.90804418855176,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","za_series","trend","AIC",6,FALSE,"trace","r = 0",54.4658533159283,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","trend","AIC",6,FALSE,"trace","r <= 1",14.0944224518539,10.49,12.25,16.26,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","trend","AIC",6,FALSE,"eigen","r = 0",40.3714308640744,16.85,18.96,23.65,TRUE
"A_common_censusIC","LTL","Total_Inventories","za_series","trend","AIC",6,FALSE,"eigen","r <= 1",14.0944224518539,10.49,12.25,16.26,TRUE
